Job running on tron01.umiacs.umd.edu
4018
3200
Resumed from epoch 500
Epoch [773/2000], Loss: 0.0256, LR: 0.000155
Epoch [774/2000], Loss: 0.0242, LR: 0.000155
Epoch [775/2000], Loss: 0.0254, LR: 0.000155
Epoch [776/2000], Loss: 0.0238, LR: 0.000155
Epoch [777/2000], Loss: 0.0256, LR: 0.000155
Epoch [778/2000], Loss: 0.0256, LR: 0.000156
Epoch [779/2000], Loss: 0.0246, LR: 0.000156
Epoch [780/2000], Loss: 0.0267, LR: 0.000156
Epoch [781/2000], Loss: 0.0247, LR: 0.000156
Epoch [782/2000], Loss: 0.0268, LR: 0.000156
Epoch [783/2000], Loss: 0.0249, LR: 0.000157
Epoch [784/2000], Loss: 0.0254, LR: 0.000157
Epoch [785/2000], Loss: 0.0253, LR: 0.000157
Epoch [786/2000], Loss: 0.0236, LR: 0.000157
Epoch [787/2000], Loss: 0.0252, LR: 0.000157
Epoch [788/2000], Loss: 0.0237, LR: 0.000158
Epoch [789/2000], Loss: 0.0258, LR: 0.000158
Epoch [790/2000], Loss: 0.0233, LR: 0.000158
Epoch [791/2000], Loss: 0.0249, LR: 0.000158
Epoch [792/2000], Loss: 0.0252, LR: 0.000158
Epoch [793/2000], Loss: 0.0269, LR: 0.000159
Epoch [794/2000], Loss: 0.0251, LR: 0.000159
Epoch [795/2000], Loss: 0.0258, LR: 0.000159
Epoch [796/2000], Loss: 0.0247, LR: 0.000159
Epoch [797/2000], Loss: 0.0253, LR: 0.000159
Epoch [798/2000], Loss: 0.0247, LR: 0.000160
Epoch [799/2000], Loss: 0.0247, LR: 0.000160
Epoch [800/2000], Loss: 0.0225, LR: 0.000160
Checkpoint saved at epoch 799
Epoch [801/2000], Loss: 0.0244, LR: 0.000160
Epoch [802/2000], Loss: 0.0254, LR: 0.000160
Epoch [803/2000], Loss: 0.0259, LR: 0.000161
Epoch [804/2000], Loss: 0.0256, LR: 0.000161
Epoch [805/2000], Loss: 0.0249, LR: 0.000161
Epoch [806/2000], Loss: 0.0244, LR: 0.000161
Epoch [807/2000], Loss: 0.0260, LR: 0.000161
Epoch [808/2000], Loss: 0.0258, LR: 0.000162
Epoch [809/2000], Loss: 0.0227, LR: 0.000162
Epoch [810/2000], Loss: 0.0261, LR: 0.000162
Epoch [811/2000], Loss: 0.0253, LR: 0.000162
Epoch [812/2000], Loss: 0.0242, LR: 0.000162
Epoch [813/2000], Loss: 0.0245, LR: 0.000163
Epoch [814/2000], Loss: 0.0234, LR: 0.000163
Epoch [815/2000], Loss: 0.0243, LR: 0.000163
Epoch [816/2000], Loss: 0.0243, LR: 0.000163
Epoch [817/2000], Loss: 0.0244, LR: 0.000163
Epoch [818/2000], Loss: 0.0243, LR: 0.000164
Epoch [819/2000], Loss: 0.0251, LR: 0.000164
Epoch [820/2000], Loss: 0.0244, LR: 0.000164
Epoch [821/2000], Loss: 0.0248, LR: 0.000164
Epoch [822/2000], Loss: 0.0251, LR: 0.000164
Epoch [823/2000], Loss: 0.0247, LR: 0.000165
Epoch [824/2000], Loss: 0.0239, LR: 0.000165
Epoch [825/2000], Loss: 0.0241, LR: 0.000165
Epoch [826/2000], Loss: 0.0255, LR: 0.000165
Epoch [827/2000], Loss: 0.0253, LR: 0.000165
Epoch [828/2000], Loss: 0.0228, LR: 0.000166
Epoch [829/2000], Loss: 0.0249, LR: 0.000166
Epoch [830/2000], Loss: 0.0243, LR: 0.000166
Epoch [831/2000], Loss: 0.0244, LR: 0.000166
Epoch [832/2000], Loss: 0.0300, LR: 0.000166
Epoch [833/2000], Loss: 0.0285, LR: 0.000167
Epoch [834/2000], Loss: 0.0237, LR: 0.000167
Epoch [835/2000], Loss: 0.0242, LR: 0.000167
Epoch [836/2000], Loss: 0.0233, LR: 0.000167
Epoch [837/2000], Loss: 0.0218, LR: 0.000167
Epoch [838/2000], Loss: 0.0236, LR: 0.000168
Epoch [839/2000], Loss: 0.0245, LR: 0.000168
Epoch [840/2000], Loss: 0.0242, LR: 0.000168
Epoch [841/2000], Loss: 0.0247, LR: 0.000168
Epoch [842/2000], Loss: 0.0256, LR: 0.000168
Epoch [843/2000], Loss: 0.0234, LR: 0.000169
Epoch [844/2000], Loss: 0.0235, LR: 0.000169
Epoch [845/2000], Loss: 0.0219, LR: 0.000169
Epoch [846/2000], Loss: 0.0249, LR: 0.000169
Epoch [847/2000], Loss: 0.0246, LR: 0.000169
Epoch [848/2000], Loss: 0.0215, LR: 0.000170
Epoch [849/2000], Loss: 0.0225, LR: 0.000170
Epoch [850/2000], Loss: 0.0239, LR: 0.000170
Epoch [851/2000], Loss: 0.0229, LR: 0.000170
Epoch [852/2000], Loss: 0.0226, LR: 0.000170
Epoch [853/2000], Loss: 0.0218, LR: 0.000171
Epoch [854/2000], Loss: 0.0238, LR: 0.000171
Epoch [855/2000], Loss: 0.0251, LR: 0.000171
Epoch [856/2000], Loss: 0.0224, LR: 0.000171
Epoch [857/2000], Loss: 0.0220, LR: 0.000171
Epoch [858/2000], Loss: 0.0276, LR: 0.000172
Epoch [859/2000], Loss: 0.0242, LR: 0.000172
Epoch [860/2000], Loss: 0.0249, LR: 0.000172
Epoch [861/2000], Loss: 0.0236, LR: 0.000172
Epoch [862/2000], Loss: 0.0222, LR: 0.000172
Epoch [863/2000], Loss: 0.0240, LR: 0.000173
Epoch [864/2000], Loss: 0.0239, LR: 0.000173
Epoch [865/2000], Loss: 0.0221, LR: 0.000173
Epoch [866/2000], Loss: 0.0223, LR: 0.000173
Epoch [867/2000], Loss: 0.0222, LR: 0.000173
Epoch [868/2000], Loss: 0.0241, LR: 0.000174
Epoch [869/2000], Loss: 0.0241, LR: 0.000174
Epoch [870/2000], Loss: 0.0224, LR: 0.000174
Epoch [871/2000], Loss: 0.0231, LR: 0.000174
Epoch [872/2000], Loss: 0.0229, LR: 0.000174
Epoch [873/2000], Loss: 0.0226, LR: 0.000175
Epoch [874/2000], Loss: 0.0215, LR: 0.000175
Epoch [875/2000], Loss: 0.0230, LR: 0.000175
Epoch [876/2000], Loss: 0.0225, LR: 0.000175
Epoch [877/2000], Loss: 0.0223, LR: 0.000175
Epoch [878/2000], Loss: 0.0233, LR: 0.000176
Epoch [879/2000], Loss: 0.0220, LR: 0.000176
Epoch [880/2000], Loss: 0.0230, LR: 0.000176
Epoch [881/2000], Loss: 0.0215, LR: 0.000176
Epoch [882/2000], Loss: 0.0223, LR: 0.000176
Epoch [883/2000], Loss: 0.0226, LR: 0.000177
Epoch [884/2000], Loss: 0.0218, LR: 0.000177
Epoch [885/2000], Loss: 0.0228, LR: 0.000177
Epoch [886/2000], Loss: 0.0214, LR: 0.000177
Epoch [887/2000], Loss: 0.0228, LR: 0.000177
Epoch [888/2000], Loss: 0.0230, LR: 0.000178
Epoch [889/2000], Loss: 0.0249, LR: 0.000178
Epoch [890/2000], Loss: 0.0231, LR: 0.000178
Epoch [891/2000], Loss: 0.0229, LR: 0.000178
Epoch [892/2000], Loss: 0.0230, LR: 0.000178
Epoch [893/2000], Loss: 0.0209, LR: 0.000179
Epoch [894/2000], Loss: 0.0226, LR: 0.000179
Epoch [895/2000], Loss: 0.0219, LR: 0.000179
Epoch [896/2000], Loss: 0.0213, LR: 0.000179
Epoch [897/2000], Loss: 0.0206, LR: 0.000179
Epoch [898/2000], Loss: 0.0492, LR: 0.000180
Epoch [899/2000], Loss: 0.0372, LR: 0.000180
Epoch [900/2000], Loss: 0.0290, LR: 0.000180
Checkpoint saved at epoch 899
Step 900
Step 800
Step 700
Step 600
Step 500
Step 400
Step 300
Step 200
Step 100
Epoch [901/2000], Loss: 0.0260, LR: 0.000180
Epoch [902/2000], Loss: 0.0255, LR: 0.000180
Epoch [903/2000], Loss: 0.0233, LR: 0.000181
Epoch [904/2000], Loss: 0.0246, LR: 0.000181
Epoch [905/2000], Loss: 0.0251, LR: 0.000181
Epoch [906/2000], Loss: 0.0241, LR: 0.000181
Epoch [907/2000], Loss: 0.0242, LR: 0.000181
Epoch [908/2000], Loss: 0.0237, LR: 0.000182
Epoch [909/2000], Loss: 0.0226, LR: 0.000182
Epoch [910/2000], Loss: 0.0229, LR: 0.000182
Epoch [911/2000], Loss: 0.0241, LR: 0.000182
Epoch [912/2000], Loss: 0.0235, LR: 0.000182
Epoch [913/2000], Loss: 0.0238, LR: 0.000183
Epoch [914/2000], Loss: 0.0237, LR: 0.000183
Epoch [915/2000], Loss: 0.0252, LR: 0.000183
Epoch [916/2000], Loss: 0.0236, LR: 0.000183
Epoch [917/2000], Loss: 0.0234, LR: 0.000183
Epoch [918/2000], Loss: 0.0229, LR: 0.000184
Epoch [919/2000], Loss: 0.0225, LR: 0.000184
Epoch [920/2000], Loss: 0.0230, LR: 0.000184
Epoch [921/2000], Loss: 0.0223, LR: 0.000184
Epoch [922/2000], Loss: 0.0217, LR: 0.000184
Epoch [923/2000], Loss: 0.0225, LR: 0.000185
Epoch [924/2000], Loss: 0.0226, LR: 0.000185
Epoch [925/2000], Loss: 0.0209, LR: 0.000185
Epoch [926/2000], Loss: 0.0236, LR: 0.000185
Epoch [927/2000], Loss: 0.0220, LR: 0.000185
Epoch [928/2000], Loss: 0.0238, LR: 0.000186
